Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-08-05,20:30 (19:30),Eint Frankfurt,1.3,1–6,3.8,Bayern Munich,51500,Commerzbank-Arena,Deniz Aytekin,Match Report,
1,Sat,2022-08-06,15:30 (14:30),Augsburg,0.5,0–4,1.2,Freiburg,25310,WWK Arena,Bastian Dankert,Match Report,
1,Sat,2022-08-06,15:30 (14:30),M'Gladbach,1.9,3–1,0.1,Hoffenheim,49659,Stadion im Borussia-Park,Daniel Siebert,Match Report,
1,Sat,2022-08-06,15:30 (14:30),Bochum,0.7,1–2,1.3,Mainz 05,24110,Vonovia Ruhrstadion,Felix Zwayer,Match Report,
1,Sat,2022-08-06,15:30 (14:30),Union Berlin,0.9,3–1,0.3,Hertha BSC,22012,Stadion An der Alten Försterei,Marco Fritz,Match Report,
1,Sat,2022-08-06,15:30 (14:30),Wolfsburg,1.0,2–2,0.7,Werder Bremen,28015,Volkswagen Arena,Sascha Stegemann,Match Report,
1,Sat,2022-08-06,18:30 (17:30),Dortmund,1.5,1–0,1.2,Leverkusen,81365,Signal Iduna Park,Felix Brych,Match Report,
1,Sun,2022-08-07,15:30 (14:30),Stuttgart,0.9,1–1,1.9,RB Leipzig,46000,Mercedes-Benz Arena,Tobias Stieler,Match Report,
1,Sun,2022-08-07,17:30 (16:30),Köln,3.9,3–1,0.4,Schalke 04,50000,RheinEnergieSTADION,Robert Schröder,Match Report,
,,,,,,,,,,,,,
2,Fri,2022-08-12,20:30 (19:30),Freiburg,1.0,1–3,1.3,Dortmund,34700,Europa-Park Stadion,Tobias Welz,Match Report,
2,Sat,2022-08-13,15:30 (14:30),Hoffenheim,2.5,3–2,1.6,Bochum,17005,PreZero Arena,Patrick Ittrich,Match Report,
2,Sat,2022-08-13,15:30 (14:30),Werder Bremen,0.7,2–2,1.5,Stuttgart,41000,Weserstadion,Robert Hartmann,Match Report,
2,Sat,2022-08-13,15:30 (14:30),Leverkusen,2.6,1–2,0.5,Augsburg,22903,BayArena,Benjamin Cortus,Match Report,
2,Sat,2022-08-13,15:30 (14:30),Hertha BSC,1.6,1–1,2.1,Eint Frankfurt,45000,Olympiastadion Berlin,Frank Willenborg,Match Report,
2,Sat,2022-08-13,15:30 (14:30),RB Leipzig,0.9,2–2,1.2,Köln,49579,Red Bull Arena,Benjamin Brand,Match Report,
2,Sat,2022-08-13,18:30 (17:30),Schalke 04,1.5,2–2,1.5,M'Gladbach,62271,Veltins-Arena,Sven Jablonski,Match Report,
2,Sun,2022-08-14,15:30 (14:30),Mainz 05,0.7,0–0,0.4,Union Berlin,25009,Opel Arena,Daniel Schlager,Match Report,
