Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-08-12,21:00 (20:00),Osasuna,1.3,2–1,0.8,Sevilla,18536,Estadio El Sadar,Carlos del Cerro,Match Report,
1,Sat,2022-08-13,17:00 (16:00),Celta Vigo,0.3,2–2,1.2,Espanyol,13859,Estadio de Balaídos,Miguel Ángel Ortiz Arias,Match Report,
1,Sat,2022-08-13,19:00 (18:00),Valladolid,0.9,0–3,1.4,Villarreal,17543,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
1,Sat,2022-08-13,21:00 (20:00),Barcelona,2.1,0–0,0.9,Rayo Vallecano,81104,Camp Nou,Alejandro Hernández,Match Report,
1,Sun,2022-08-14,17:30 (16:30),Cádiz,0.3,0–1,1.7,Real Sociedad,16570,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,Match Report,
1,Sun,2022-08-14,19:30 (18:30),Valencia,1.7,1–0,0.1,Girona,39359,Estadio de Mestalla,Jorge Figueroa,Match Report,
1,Sun,2022-08-14,22:00 (21:00),Almería,0.6,1–2,2.4,Real Madrid,14386,Estadio de los Juegos Mediterráneos,Juan Martínez,Match Report,
1,Mon,2022-08-15,17:30 (16:30),Athletic Club,1.6,0–0,0.4,Mallorca,39747,San Mamés,Javier Villanueva,Match Report,
1,Mon,2022-08-15,19:30 (18:30),Getafe,0.6,0–3,1.2,Atlético Madrid,12235,Coliseum Alfonso Pérez,José Sánchez,Match Report,
1,Mon,2022-08-15,21:30 (20:30),Betis,3.0,3–0,0.4,Elche,50622,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
2,Fri,2022-08-19,20:00 (19:00),Espanyol,1.0,0–2,1.6,Rayo Vallecano,16071,RCDE Stadium,Jorge Figueroa,Match Report,
2,Fri,2022-08-19,22:00 (21:00),Sevilla,2.6,1–1,0.8,Valladolid,33991,Estadio Ramón Sánchez Pizjuán,Juan Pulido,Match Report,
2,Sat,2022-08-20,17:30 (16:30),Osasuna,2.6,2–0,1.3,Cádiz,18587,Estadio El Sadar,Antonio Matéu Lahoz,Match Report,
2,Sat,2022-08-20,19:30 (18:30),Mallorca,1.0,1–2,2.2,Betis,15579,Iberostar Estadi,Pablo González,Match Report,
2,Sat,2022-08-20,22:00 (21:00),Celta Vigo,1.3,1–4,3.4,Real Madrid,15681,Estadio de Balaídos,Jesús Gil,Match Report,
2,Sun,2022-08-21,17:30 (16:30),Athletic Club,1.5,1–0,0.9,Valencia,43333,San Mamés,César Soto,Match Report,
2,Sun,2022-08-21,19:30 (18:30),Atlético Madrid,1.3,0–2,2.0,Villarreal,57033,Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
2,Sun,2022-08-21,22:00 (21:00),Real Sociedad,0.6,1–4,2.2,Barcelona,36201,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
2,Mon,2022-08-22,20:00 (19:00),Elche,1.1,1–1,0.9,Almería,23361,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
2,Mon,2022-08-22,22:00 (21:00),Girona,1.1,3–1,0.7,Getafe,10460,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-08-26,20:00 (19:00),Girona,0.8,0–1,0.7,Celta Vigo,11329,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
3,Fri,2022-08-26,22:00 (21:00),Betis,0.4,1–0,1.0,Osasuna,52580,Estadio Benito Villamarín,Juan Martínez,Match Report,
3,Sat,2022-08-27,17:30 (16:30),Elche,0.8,0–1,1.7,Real Sociedad,22656,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
