,date,time,home,score,away
0,2022-08-05,20:00,Crystal Palace,0–2,Arsenal
1,2022-08-06,12:30,Fulham,2–2,Liverpool
2,2022-08-06,15:00,Bournemouth,2–0,Aston Villa
3,2022-08-06,15:00,Tottenham,4–1,Southampton
4,2022-08-06,15:00,Leeds United,2–1,Wolves
5,2022-08-06,15:00,Newcastle Utd,2–0,Nott'ham Forest
6,2022-08-06,17:30,Everton,0–1,Chelsea
7,2022-08-07,14:00,Leicester City,2–2,Brentford
8,2022-08-07,14:00,Manchester Utd,1–2,Brighton
9,2022-08-07,16:30,West Ham,0–2,Manchester City
10,,,,,
11,2022-08-13,12:30,Aston Villa,2–1,Everton
12,2022-08-13,15:00,Arsenal,4–2,Leicester City
13,2022-08-13,15:00,Manchester City,4–0,Bournemouth
14,2022-08-13,15:00,Southampton,2–2,Leeds United
15,2022-08-13,15:00,Wolves,0–0,Fulham
16,2022-08-13,15:00,Brighton,0–0,Newcastle Utd
17,2022-08-13,17:30,Brentford,4–0,Manchester Utd
18,2022-08-14,14:00,Nott'ham Forest,1–0,West Ham
19,2022-08-14,16:30,Chelsea,2–2,Tottenham
20,2022-08-15,20:00,Liverpool,1–1,Crystal Palace
21,,,,,
22,2022-08-20,12:30,Tottenham,1–0,Wolves
23,2022-08-20,15:00,Everton,1–1,Nott'ham Forest
24,2022-08-20,15:00,Crystal Palace,3–1,Aston Villa
25,2022-08-20,15:00,Leicester City,1–2,Southampton
26,2022-08-20,15:00,Fulham,3–2,Brentford
27,2022-08-20,17:30,Bournemouth,0–3,Arsenal
28,2022-08-21,14:00,West Ham,0–2,Brighton
29,2022-08-21,14:00,Leeds United,3–0,Chelsea
30,2022-08-21,16:30,Newcastle Utd,3–3,Manchester City
31,2022-08-22,20:00,Manchester Utd,2–1,Liverpool
32,,,,,
33,2022-08-27,12:30,Southampton,0–1,Manchester Utd
34,2022-08-27,15:00,Brighton,1–0,Leeds United
35,2022-08-27,15:00,Liverpool,9–0,Bournemouth
36,2022-08-27,15:00,Brentford,1–1,Everton
37,2022-08-27,15:00,Chelsea,2–1,Leicester City
38,2022-08-27,15:00,Manchester City,4–2,Crystal Palace
39,2022-08-27,17:30,Arsenal,2–1,Fulham
40,2022-08-28,14:00,Wolves,1–1,Newcastle Utd
41,2022-08-28,14:00,Aston Villa,0–1,West Ham
42,2022-08-28,16:30,Nott'ham Forest,0–2,Tottenham
43,,,,,
44,2022-08-30,19:30,Crystal Palace,1–1,Brentford
45,2022-08-30,19:30,Fulham,2–1,Brighton
46,2022-08-30,19:45,Southampton,2–1,Chelsea
47,2022-08-30,20:00,Leeds United,1–1,Everton
48,2022-08-31,19:30,Arsenal,2–1,Aston Villa
49,2022-08-31,19:30,Manchester City,6–0,Nott'ham Forest
50,2022-08-31,19:30,Bournemouth,0–0,Wolves
51,2022-08-31,19:45,West Ham,1–1,Tottenham
52,2022-08-31,20:00,Liverpool,2–1,Newcastle Utd
53,2022-09-01,20:00,Leicester City,0–1,Manchester Utd
54,,,,,
55,2022-09-03,12:30,Everton,0–0,Liverpool
56,2022-09-03,15:00,Newcastle Utd,0–0,Crystal Palace
57,2022-09-03,15:00,Wolves,1–0,Southampton
58,2022-09-03,15:00,Chelsea,2–1,West Ham
59,2022-09-03,15:00,Brentford,5–2,Leeds United
60,2022-09-03,15:00,Tottenham,2–1,Fulham
61,2022-09-03,15:00,Nott'ham Forest,2–3,Bournemouth
62,2022-09-03,17:30,Aston Villa,1–1,Manchester City
63,2022-09-04,14:00,Brighton,5–2,Leicester City
64,2022-09-04,16:30,Manchester Utd,3–1,Arsenal
65,,,,,
66,2022-09-10,12:30,Fulham,,Chelsea
67,2022-09-10,15:00,Liverpool,,Wolves
68,2022-09-10,15:00,Southampton,,Brentford
69,2022-09-10,15:00,Bournemouth,,Brighton
70,2022-09-10,15:00,Leicester City,,Aston Villa
71,2022-09-10,17:30,Manchester City,,Tottenham
72,2022-09-11,14:00,Arsenal,,Everton
73,2022-09-11,14:00,West Ham,,Newcastle Utd
74,2022-09-11,16:30,Crystal Palace,,Manchester Utd
75,2022-09-12,20:00,Leeds United,,Nott'ham Forest
76,,,,,
77,2022-09-16,20:00,Aston Villa,1–0,Southampton
78,2022-09-16,20:00,Nott'ham Forest,2–3,Fulham
79,2022-09-17,12:30,Wolves,0–3,Manchester City
80,2022-09-17,15:00,Newcastle Utd,1–1,Bournemouth
81,2022-09-17,15:00,Brighton,,Crystal Palace
82,2022-09-17,17:30,Tottenham,6–2,Leicester City
83,2022-09-18,12:00,Brentford,0–3,Arsenal
84,2022-09-18,14:00,Manchester Utd,,Leeds United
85,2022-09-18,14:15,Everton,1–0,West Ham
86,2022-09-18,16:30,Chelsea,,Liverpool
87,,,,,
88,2022-10-01,12:30,Arsenal,3–1,Tottenham
89,2022-10-01,15:00,Southampton,1–2,Everton
90,2022-10-01,15:00,Crystal Palace,1–2,Chelsea
91,2022-10-01,15:00,Liverpool,3–3,Brighton
92,2022-10-01,15:00,Fulham,1–4,Newcastle Utd
93,2022-10-01,15:00,Bournemouth,0–0,Brentford
94,2022-10-01,17:30,West Ham,2–0,Wolves
95,2022-10-02,14:00,Manchester City,6–3,Manchester Utd
96,2022-10-02,16:30,Leeds United,0–0,Aston Villa
97,2022-10-03,20:00,Leicester City,4–0,Nott'ham Forest
98,,,,,
99,2022-10-08,15:00,Bournemouth,2–1,Leicester City
100,2022-10-08,15:00,Manchester City,4–0,Southampton
101,2022-10-08,15:00,Chelsea,3–0,Wolves
102,2022-10-08,15:00,Newcastle Utd,5–1,Brentford
103,2022-10-08,17:30,Brighton,0–1,Tottenham
104,2022-10-09,14:00,Crystal Palace,2–1,Leeds United
105,2022-10-09,14:00,West Ham,3–1,Fulham
106,2022-10-09,16:30,Arsenal,3–2,Liverpool
107,2022-10-09,19:00,Everton,1–2,Manchester Utd
108,2022-10-10,20:00,Nott'ham Forest,1–1,Aston Villa
109,,,,,
110,2022-10-14,20:00,Brentford,2–0,Brighton
111,2022-10-15,12:30,Leicester City,0–0,Crystal Palace
112,2022-10-15,15:00,Fulham,2–2,Bournemouth
113,2022-10-15,15:00,Wolves,1–0,Nott'ham Forest
114,2022-10-15,17:30,Tottenham,2–0,Everton
115,2022-10-16,14:00,Manchester Utd,0–0,Newcastle Utd
116,2022-10-16,14:00,Aston Villa,0–2,Chelsea
117,2022-10-16,14:00,Southampton,1–1,West Ham
118,2022-10-16,14:00,Leeds United,0–1,Arsenal
119,2022-10-16,16:30,Liverpool,1–0,Manchester City
120,,,,,
121,2022-10-18,19:30,Brighton,0–0,Nott'ham Forest
122,2022-10-18,20:15,Crystal Palace,2–1,Wolves
123,2022-10-19,19:30,Newcastle Utd,1–0,Everton
124,2022-10-19,19:30,Bournemouth,0–1,Southampton
125,2022-10-19,19:30,Brentford,0–0,Chelsea
126,2022-10-19,19:30,Liverpool,1–0,West Ham
127,2022-10-19,19:30,Arsenal,,Manchester City
128,2022-10-19,20:15,Manchester Utd,2–0,Tottenham
129,2022-10-20,19:30,Fulham,3–0,Aston Villa
130,2022-10-20,20:15,Leicester City,2–0,Leeds United
131,,,,,
132,2022-10-22,12:30,Nott'ham Forest,1–0,Liverpool
133,2022-10-22,15:00,Everton,3–0,Crystal Palace
134,2022-10-22,15:00,Manchester City,3–1,Brighton
135,2022-10-22,17:30,Chelsea,1–1,Manchester Utd
136,2022-10-23,14:00,Wolves,0–4,Leicester City
137,2022-10-23,14:00,Aston Villa,4–0,Brentford
138,2022-10-23,14:00,Southampton,1–1,Arsenal
139,2022-10-23,14:00,Leeds United,2–3,Fulham
140,2022-10-23,16:30,Tottenham,1–2,Newcastle Utd
141,2022-10-24,20:00,West Ham,,Bournemouth
142,,,,,
143,2022-10-29,12:30,Leicester City,,Manchester City
144,2022-10-29,15:00,Brighton,,Chelsea
145,2022-10-29,15:00,Crystal Palace,,Southampton
146,2022-10-29,15:00,Newcastle Utd,,Aston Villa
147,2022-10-29,15:00,Bournemouth,,Tottenham
148,2022-10-29,15:00,Brentford,,Wolves
149,2022-10-29,17:30,Fulham,,Everton
150,2022-10-29,19:45,Liverpool,,Leeds United
151,2022-10-30,14:00,Arsenal,,Nott'ham Forest
152,2022-10-30,16:15,Manchester Utd,,West Ham
153,,,,,
154,2022-11-05,15:00,Manchester City,,Fulham
155,2022-11-05,15:00,Nott'ham Forest,,Brentford
156,2022-11-05,15:00,Wolves,,Brighton
157,2022-11-05,15:00,Leeds United,,Bournemouth
158,2022-11-05,17:30,Everton,,Leicester City
159,2022-11-06,12:00,Chelsea,,Arsenal
160,2022-11-06,14:00,Southampton,,Newcastle Utd
161,2022-11-06,14:00,Aston Villa,,Manchester Utd
162,2022-11-06,14:00,West Ham,,Crystal Palace
163,2022-11-06,16:30,Tottenham,,Liverpool
164,,,,,
165,2022-11-12,12:30,Manchester City,,Brentford
166,2022-11-12,15:00,Nott'ham Forest,,Crystal Palace
167,2022-11-12,15:00,West Ham,,Leicester City
168,2022-11-12,15:00,Tottenham,,Leeds United
169,2022-11-12,15:00,Liverpool,,Southampton
170,2022-11-12,15:00,Bournemouth,,Everton
171,2022-11-12,17:30,Newcastle Utd,,Chelsea
172,2022-11-12,19:45,Wolves,,Arsenal
173,2022-11-13,14:00,Brighton,,Aston Villa
174,2022-11-13,16:30,Fulham,,Manchester Utd
175,,,,,
176,2022-12-26,15:00,Everton,,Wolves
177,2022-12-26,15:00,Southampton,,Brighton
178,2022-12-26,15:00,Arsenal,,West Ham
179,2022-12-26,15:00,Brentford,,Tottenham
180,2022-12-26,15:00,Leeds United,,Manchester City
181,2022-12-26,15:00,Chelsea,,Bournemouth
182,2022-12-26,15:00,Crystal Palace,,Fulham
183,2022-12-26,15:00,Manchester Utd,,Nott'ham Forest
184,2022-12-26,15:00,Aston Villa,,Liverpool
185,2022-12-26,15:00,Leicester City,,Newcastle Utd
186,,,,,
187,2022-12-31,15:00,Brighton,,Arsenal
188,2022-12-31,15:00,Tottenham,,Aston Villa
189,2022-12-31,15:00,Wolves,,Manchester Utd
190,2022-12-31,15:00,Liverpool,,Leicester City
191,2022-12-31,15:00,Nott'ham Forest,,Chelsea
192,2022-12-31,15:00,Newcastle Utd,,Leeds United
193,2022-12-31,15:00,Fulham,,Southampton
194,2022-12-31,15:00,Bournemouth,,Crystal Palace
195,2022-12-31,15:00,Manchester City,,Everton
196,2022-12-31,15:00,West Ham,,Brentford
197,,,,,
198,2023-01-02,15:00,Manchester Utd,,Bournemouth
199,2023-01-02,15:00,Aston Villa,,Wolves
200,2023-01-02,15:00,Chelsea,,Manchester City
201,2023-01-02,15:00,Brentford,,Liverpool
202,2023-01-02,15:00,Leicester City,,Fulham
203,2023-01-02,15:00,Everton,,Brighton
204,2023-01-02,15:00,Leeds United,,West Ham
205,2023-01-02,15:00,Southampton,,Nott'ham Forest
206,2023-01-02,15:00,Arsenal,,Newcastle Utd
207,2023-01-02,15:00,Crystal Palace,,Tottenham
208,,,,,
209,2023-01-14,15:00,Manchester Utd,,Manchester City
210,2023-01-14,15:00,Brighton,,Liverpool
211,2023-01-14,15:00,Chelsea,,Crystal Palace
212,2023-01-14,15:00,Aston Villa,,Leeds United
213,2023-01-14,15:00,Nott'ham Forest,,Leicester City
214,2023-01-14,15:00,Brentford,,Bournemouth
215,2023-01-14,15:00,Wolves,,West Ham
216,2023-01-14,15:00,Newcastle Utd,,Fulham
217,2023-01-14,15:00,Everton,,Southampton
218,2023-01-14,15:00,Tottenham,,Arsenal
219,,,,,
220,2023-01-21,15:00,Southampton,,Aston Villa
221,2023-01-21,15:00,Crystal Palace,,Newcastle Utd
222,2023-01-21,15:00,Leicester City,,Brighton
223,2023-01-21,15:00,Arsenal,,Manchester Utd
224,2023-01-21,15:00,Manchester City,,Wolves
225,2023-01-21,15:00,Liverpool,,Chelsea
226,2023-01-21,15:00,Fulham,,Tottenham
227,2023-01-21,15:00,West Ham,,Everton
228,2023-01-21,15:00,Leeds United,,Brentford
229,2023-01-21,15:00,Bournemouth,,Nott'ham Forest
230,,,,,
231,2023-02-04,15:00,Tottenham,,Manchester City
232,2023-02-04,15:00,Everton,,Arsenal
233,2023-02-04,15:00,Nott'ham Forest,,Leeds United
234,2023-02-04,15:00,Newcastle Utd,,West Ham
235,2023-02-04,15:00,Aston Villa,,Leicester City
236,2023-02-04,15:00,Brighton,,Bournemouth
237,2023-02-04,15:00,Manchester Utd,,Crystal Palace
238,2023-02-04,15:00,Wolves,,Liverpool
239,2023-02-04,15:00,Brentford,,Southampton
240,2023-02-04,15:00,Chelsea,,Fulham
241,,,,,
242,2023-02-11,15:00,Crystal Palace,,Brighton
243,2023-02-11,15:00,Leeds United,,Manchester Utd
244,2023-02-11,15:00,Arsenal,,Brentford
245,2023-02-11,15:00,Fulham,,Nott'ham Forest
246,2023-02-11,15:00,Leicester City,,Tottenham
247,2023-02-11,15:00,Southampton,,Wolves
248,2023-02-11,15:00,West Ham,,Chelsea
249,2023-02-11,15:00,Liverpool,,Everton
