,ID,Category,Date,Score,Name,Active
0,0,American Football,2022-09-08,31 - 10,Buffalo Bills - Los Angeles Rams,False
1,1,American Football,2022-09-11,27 - 26,New Orleans Saints - Atlanta Falcons,False
2,2,American Football,2022-09-11,26 - 24,Cleveland Browns - Carolina Panthers,False
3,3,American Football,2022-09-11,19 - 10,Chicago Bears - San Francisco 49ers,False
4,4,American Football,2022-09-11,23 - 20,Pittsburgh Steelers - Cincinnati Bengals,False
5,5,American Football,2022-09-11,20 - 20,Houston Texans - Indianapolis Colts,False
6,6,American Football,2022-09-11,38 - 35,Philadelphia Eagles - Detroit Lions,False
7,7,American Football,2022-09-11,28 - 22,Washington Commanders - Jacksonville Jaguars,False
8,8,American Football,2022-09-11,20 - 7,Miami Dolphins - New England Patriots,False
9,9,American Football,2022-09-11,24 - 9,Baltimore Ravens - New York Jets,False
10,10,American Football,2022-09-11,44 - 21,Kansas City Chiefs - Arizona Cardinals,False
11,11,American Football,2022-09-11,23 - 7,Minnesota Vikings - Green Bay Packers,False
12,12,American Football,2022-09-11,21 - 20,New York Giants - Tennessee Titans,False
13,13,American Football,2022-09-11,24 - 19,Los Angeles Chargers - Las Vegas Raiders,False
14,14,American Football,2022-09-11,19 - 3,Tampa Bay Buccaneers - Dallas Cowboys,False
15,15,American Football,2022-09-12,17 - 16,Seattle Seahawks - Denver Broncos,False
16,16,American Football,2022-09-15,27 - 24,Kansas City Chiefs - Los Angeles Chargers,False
17,17,American Football,2022-09-18,19 - 16,New York Giants - Carolina Panthers,False
18,18,American Football,2022-09-18,31 - 30,New York Jets - Cleveland Browns,False
19,19,American Football,2022-09-18,24 - 0,Jacksonville Jaguars - Indianapolis Colts,False
20,20,American Football,2022-09-18,36 - 27,Detroit Lions - Washington Commanders,False
21,21,American Football,2022-09-18,42 - 38,Miami Dolphins - Baltimore Ravens,False
22,22,American Football,2022-09-18,20 - 10,Tampa Bay Buccaneers - New Orleans Saints,False
23,23,American Football,2022-09-18,17 - 14,New England Patriots - Pittsburgh Steelers,False
24,24,American Football,2022-09-18,31 - 27,Los Angeles Rams - Atlanta Falcons,False
25,25,American Football,2022-09-18,27 - 7,San Francisco 49ers - Seattle Seahawks,False
26,26,American Football,2022-09-18,20 - 17,Dallas Cowboys - Cincinnati Bengals,False
