,ID,Category,Date,Score,Name,Active
0,0,Basketball,2022-10-18,126 - 117,Boston Celtics - Philadelphia 76ers,False
1,1,Basketball,2022-10-18,123 - 109,Golden State Warriors - Los Angeles Lakers,False
2,2,Basketball,2022-10-19,113 - 109,Detroit Pistons - Orlando Magic,False
3,3,Basketball,2022-10-19,107 - 114,Indiana Pacers - Washington Wizards,False
4,4,Basketball,2022-10-19,117 - 107,Atlanta Hawks - Houston Rockets,False
5,5,Basketball,2022-10-19,108 - 130,Brooklyn Nets - New Orleans Pelicans,False
6,6,Basketball,2022-10-19,115 - 112,Memphis Grizzlies - New York Knicks,False
7,7,Basketball,2022-10-19,108 - 116,Miami Heat - Chicago Bulls,False
8,8,Basketball,2022-10-19,108 - 105,Toronto Raptors - Cleveland Cavaliers,False
9,9,Basketball,2022-10-19,115 - 108,Minnesota Timberwolves - Oklahoma City Thunder,False
10,10,Basketball,2022-10-19,102 - 129,San Antonio Spurs - Charlotte Hornets,False
11,11,Basketball,2022-10-19,123 - 102,Utah Jazz - Denver Nuggets,False
12,12,Basketball,2022-10-19,107 - 105,Phoenix Suns - Dallas Mavericks,False
13,13,Basketball,2022-10-19,108 - 115,Sacramento Kings - Portland Trail Blazers,False
14,14,Basketball,2022-10-20,88 - 90,Philadelphia 76ers - Milwaukee Bucks,False
15,15,Basketball,2022-10-20,97 - 103,Los Angeles Lakers - Los Angeles Clippers,False
16,16,Basketball,2022-10-21,112 - 124,Charlotte Hornets - New Orleans Pelicans,False
17,17,Basketball,2022-10-21,134 - 137,Indiana Pacers - San Antonio Spurs,False
18,18,Basketball,2022-10-21,102 - 100,Washington Wizards - Chicago Bulls,False
19,19,Basketball,2022-10-21,108 - 98,Atlanta Hawks - Orlando Magic,False
20,20,Basketball,2022-10-21,109 - 105,Brooklyn Nets - Toronto Raptors,False
21,21,Basketball,2022-10-21,104 - 111,Miami Heat - Boston Celtics,False
22,22,Basketball,2022-10-21,130 - 106,New York Knicks - Detroit Pistons,False
23,23,Basketball,2022-10-21,122 - 129,Houston Rockets - Memphis Grizzlies,False
24,24,Basketball,2022-10-21,126 - 132,Minnesota Timberwolves - Utah Jazz,False
25,25,Basketball,2022-10-21,123 - 128,Golden State Warriors - Denver Nuggets,False
26,26,Basketball,2022-10-21,113 - 111,Portland Trail Blazers - Phoenix Suns,False
27,27,Basketball,2022-10-22,105 - 114,Philadelphia 76ers - San Antonio Spurs,False
28,28,Basketball,2022-10-22,124 - 115,Indiana Pacers - Detroit Pistons,False
29,29,Basketball,2022-10-22,120 - 126,Orlando Magic - Boston Celtics,False
30,30,Basketball,2022-10-22,96 - 128,Chicago Bulls - Cleveland Cavaliers,False
31,31,Basketball,2022-10-22,112 - 109,Miami Heat - Toronto Raptors,False
32,32,Basketball,2022-10-22,125 - 105,Milwaukee Bucks - Houston Rockets,False
33,33,Basketball,2022-10-22,137 - 96,Dallas Mavericks - Memphis Grizzlies,False
34,34,Basketball,2022-10-22,122 - 117,Denver Nuggets - Oklahoma City Thunder,False
35,35,Basketball,2022-10-22,109 - 111,Sacramento Kings - Los Angeles Clippers,False
36,36,Basketball,2022-10-23,104 - 106,Los Angeles Lakers - Portland Trail Blazers,False
37,37,Basketball,2022-10-23,109 - 126,Atlanta Hawks - Charlotte Hornets,False
38,38,Basketball,2022-10-23,117 - 107,Cleveland Cavaliers - Washington Wizards,False
39,39,Basketball,2022-10-23,121 - 122,New Orleans Pelicans - Utah Jazz,False
40,40,Basketball,2022-10-23,106 - 116,Oklahoma City Thunder - Minnesota Timberwolves,False
41,41,Basketball,2022-10-23,130 - 125,Golden State Warriors - Sacramento Kings,False
42,42,Basketball,2022-10-23,95 - 112,Los Angeles Clippers - Phoenix Suns,False
43,43,Basketball,2022-10-24,120 - 106,Philadelphia 76ers - Indiana Pacers,False
44,44,Basketball,2022-10-24,90 - 98,Miami Heat - Toronto Raptors,False
45,45,Basketball,2022-10-24,115 - 102,New York Knicks - Orlando Magic,False
46,46,Basketball,2022-10-24,120 - 102,Chicago Bulls - Boston Celtics,False
47,47,Basketball,2022-10-24,114 - 108,Houston Rockets - Utah Jazz,False
48,48,Basketball,2022-10-24,134 - 124,Memphis Grizzlies - Brooklyn Nets,False
49,49,Basketball,2022-10-24,106 - 115,Minnesota Timberwolves - San Antonio Spurs,False
50,50,Basketball,2022-10-24,135 - 110,Portland Trail Blazers - Denver Nuggets,False
51,51,Basketball,2022-10-25,120 - 99,Washington Wizards - Detroit Pistons,False
52,52,Basketball,2022-10-25,113 - 111,New Orleans Pelicans - Dallas Mavericks,False
53,53,Basketball,2022-10-25,108 - 94,Oklahoma City Thunder - Los Angeles Clippers,False
54,54,Basketball,2022-10-25,134 - 105,Phoenix Suns - Golden State Warriors,False
55,55,Basketball,2022-10-26,103 - 92,Cleveland Cavaliers - Orlando Magic,False
56,56,Basketball,2022-10-26,113 - 118,Detroit Pistons - Atlanta Hawks,False
57,57,Basketball,2022-10-26,110 - 99,Milwaukee Bucks - Brooklyn Nets,False
58,58,Basketball,2022-10-26,134 - 131,New York Knicks - Charlotte Hornets,False
59,59,Basketball,2022-10-26,119 - 109,Toronto Raptors - Philadelphia 76ers,False
60,60,Basketball,2022-10-26,124 - 109,Chicago Bulls - Indiana Pacers,False
61,61,Basketball,2022-10-26,134 - 122,Minnesota Timberwolves - San Antonio Spurs,False
62,62,Basketball,2022-10-26,109 - 101,Utah Jazz - Houston Rockets,False
63,63,Basketball,2022-10-26,110 - 99,Denver Nuggets - Los Angeles Lakers,False
64,64,Basketball,2022-10-26,98 - 119,Portland Trail Blazers - Miami Heat,False
65,65,Basketball,2022-10-27,125 - 129,Brooklyn Nets - Dallas Mavericks,False
66,66,Basketball,2022-10-27,118 - 110,Oklahoma City Thunder - Los Angeles Clippers,False
67,67,Basketball,2022-10-27,123 - 110,Golden State Warriors - Miami Heat,False
68,68,Basketball,2022-10-27,110 - 125,Sacramento Kings - Memphis Grizzlies,False
69,69,Basketball,2022-10-28,112 - 136,Detroit Pistons - Atlanta Hawks,False
70,70,Basketball,2022-10-28,113 - 93,Orlando Magic - Charlotte Hornets,False
71,71,Basketball,2022-10-28,123 - 132,Boston Celtics - Cleveland Cavaliers,False
72,72,Basketball,2022-10-28,90 - 112,Toronto Raptors - Philadelphia 76ers,False
73,73,Basketball,2022-10-28,117 - 127,Washington Wizards - Indiana Pacers,False
74,74,Basketball,2022-10-28,119 - 108,Milwaukee Bucks - New York Knicks,False
75,75,Basketball,2022-10-28,111 - 102,Minnesota Timberwolves - Los Angeles Lakers,False
76,76,Basketball,2022-10-28,129 - 124,San Antonio Spurs - Chicago Bulls,False
77,77,Basketball,2022-10-28,117 - 101,Denver Nuggets - Utah Jazz,False
78,78,Basketball,2022-10-28,124 - 111,Phoenix Suns - New Orleans Pelicans,False
79,79,Basketball,2022-10-28,125 - 111,Portland Trail Blazers - Houston Rockets,False
80,80,Basketball,2022-10-29,119 - 113,Sacramento Kings - Miami Heat,False
81,81,Basketball,2022-10-29,120 - 113,Charlotte Hornets - Golden State Warriors,False
82,82,Basketball,2022-10-29,116 - 125,Brooklyn Nets - Indiana Pacers,False
83,83,Basketball,2022-10-29,109 - 114,Chicago Bulls - Philadelphia 76ers,False
84,84,Basketball,2022-10-29,123 - 115,Milwaukee Bucks - Atlanta Hawks,False
85,85,Basketball,2022-10-29,111 - 117,Dallas Mavericks - Oklahoma City Thunder,False
86,86,Basketball,2022-10-29,124 - 123,Utah Jazz - Memphis Grizzlies,False
87,87,Basketball,2022-10-30,91 - 112,Los Angeles Clippers - New Orleans Pelicans,False
88,88,Basketball,2022-10-30,112 - 94,Boston Celtics - Washington Wizards,False
89,89,Basketball,2022-10-30,121 - 108,Cleveland Cavaliers - New York Knicks,False
90,90,Basketball,2022-10-30,128 - 114,Detroit Pistons - Golden State Warriors,False
91,91,Basketball,2022-10-30,107 - 98,San Antonio Spurs - Minnesota Timberwolves,False
92,92,Basketball,2022-10-30,114 - 105,Dallas Mavericks - Orlando Magic,False
93,93,Basketball,2022-10-30,124 - 109,Phoenix Suns - Houston Rockets,False
94,94,Basketball,2022-10-30,121 - 110,Los Angeles Lakers - Denver Nuggets,False
95,95,Basketball,2022-10-31,108 - 115,Charlotte Hornets - Sacramento Kings,False
96,96,Basketball,2022-10-31,111 - 118,Washington Wizards - Philadelphia 76ers,False
