,ID,Category,Date,Name,Score,Active
0,0,Hockey,2022-10-07,Nashville Predators - San Jose Sharks,4 - 1,False
1,1,Hockey,2022-10-08,San Jose Sharks - Nashville Predators,2 - 3,False
2,2,Hockey,2022-10-11,Los Angeles Kings - Vegas Golden Knights,3 - 4,False
3,3,Hockey,2022-10-11,New York Rangers - Tampa Bay Lightning,3 - 1,False
4,4,Hockey,2022-10-12,Anaheim Ducks - Seattle Kraken,5 - 4,False
5,5,Hockey,2022-10-12,Carolina Hurricanes - Columbus Blue Jackets,4 - 1,False
6,6,Hockey,2022-10-12,Colorado Avalanche - Chicago Blackhawks,5 - 2,False
7,7,Hockey,2022-10-12,Edmonton Oilers - Vancouver Canucks,5 - 3,False
8,8,Hockey,2022-10-12,Montreal Canadiens - Toronto Maple Leafs,4 - 3,False
9,9,Hockey,2022-10-12,Washington Capitals - Boston Bruins,2 - 5,False
10,10,Hockey,2022-10-13,Buffalo Sabres - Ottawa Senators,4 - 1,False
11,11,Hockey,2022-10-13,Calgary Flames - Colorado Avalanche,5 - 3,False
12,12,Hockey,2022-10-13,Los Angeles Kings - Seattle Kraken,1 - 4,False
13,13,Hockey,2022-10-13,Minnesota Wild - New York Rangers,3 - 7,False
14,14,Hockey,2022-10-13,Nashville Predators - Dallas Stars,1 - 4,False
15,15,Hockey,2022-10-13,New York Islanders - Florida Panthers,1 - 3,False
16,16,Hockey,2022-10-13,Philadelphia Flyers - New Jersey Devils,5 - 2,False
17,17,Hockey,2022-10-13,Pittsburgh Penguins - Arizona Coyotes,6 - 2,False
18,18,Hockey,2022-10-13,Toronto Maple Leafs - Washington Capitals,3 - 2,False
19,19,Hockey,2022-10-13,Vegas Golden Knights - Chicago Blackhawks,1 - 0,False
20,20,Hockey,2022-10-14,Columbus Blue Jackets - Tampa Bay Lightning,2 - 5,False
21,21,Hockey,2022-10-14,Detroit Red Wings - Montreal Canadiens,3 - 0,False
22,22,Hockey,2022-10-14,San Jose Sharks - Carolina Hurricanes,1 - 2,False
23,23,Hockey,2022-10-14,Winnipeg Jets - New York Rangers,4 - 1,False
24,24,Hockey,2022-10-15,Boston Bruins - Arizona Coyotes,6 - 3,False
25,25,Hockey,2022-10-15,Buffalo Sabres - Florida Panthers,3 - 4,False
26,26,Hockey,2022-10-15,Dallas Stars - Nashville Predators,5 - 1,False
27,27,Hockey,2022-10-15,Edmonton Oilers - Calgary Flames,3 - 4,False
28,28,Hockey,2022-10-15,Minnesota Wild - Los Angeles Kings,6 - 7,False
29,29,Hockey,2022-10-15,New Jersey Devils - Detroit Red Wings,2 - 5,False
30,30,Hockey,2022-10-15,New York Islanders - Anaheim Ducks,7 - 1,False
31,31,Hockey,2022-10-15,Philadelphia Flyers - Vancouver Canucks,3 - 2,False
32,32,Hockey,2022-10-15,Pittsburgh Penguins - Tampa Bay Lightning,6 - 2,False
33,33,Hockey,2022-10-15,Seattle Kraken - Vegas Golden Knights,2 - 5,False
34,34,Hockey,2022-10-15,San Jose Sharks - Chicago Blackhawks,2 - 5,False
35,35,Hockey,2022-10-15,St. Louis Blues - Columbus Blue Jackets,5 - 2,False
36,36,Hockey,2022-10-15,Toronto Maple Leafs - Ottawa Senators,3 - 2,False
37,37,Hockey,2022-10-15,Washington Capitals - Montreal Canadiens,3 - 1,False
38,38,Hockey,2022-10-17,Boston Bruins - Florida Panthers,5 - 3,False
39,39,Hockey,2022-10-17,Dallas Stars - Winnipeg Jets,4 - 1,False
40,40,Hockey,2022-10-17,Detroit Red Wings - Los Angeles Kings,4 - 5,False
41,41,Hockey,2022-10-17,Minnesota Wild - Colorado Avalanche,3 - 6,False
42,42,Hockey,2022-10-17,Montreal Canadiens - Pittsburgh Penguins,3 - 2,False
43,43,Hockey,2022-10-17,New York Rangers - Anaheim Ducks,6 - 4,False
44,44,Hockey,2022-10-17,Seattle Kraken - Carolina Hurricanes,1 - 5,False
45,45,Hockey,2022-10-17,Toronto Maple Leafs - Arizona Coyotes,2 - 4,False
46,46,Hockey,2022-10-17,Washington Capitals - Vancouver Canucks,6 - 4,False
47,47,Hockey,2022-10-18,Columbus Blue Jackets - Vancouver Canucks,4 - 3,False
48,48,Hockey,2022-10-18,Calgary Flames - Vegas Golden Knights,3 - 2,False
49,49,Hockey,2022-10-18,Edmonton Oilers - Buffalo Sabres,2 - 4,False
50,50,Hockey,2022-10-18,New Jersey Devils - Anaheim Ducks,4 - 2,False
51,51,Hockey,2022-10-18,Nashville Predators - Los Angeles Kings,3 - 4,False
52,52,Hockey,2022-10-18,New York Islanders - San Jose Sharks,5 - 2,False
53,53,Hockey,2022-10-18,Ottawa Senators - Boston Bruins,7 - 5,False
54,54,Hockey,2022-10-18,Tampa Bay Lightning - Philadelphia Flyers,2 - 3,False
55,55,Hockey,2022-10-19,Colorado Avalanche - Winnipeg Jets,3 - 4,False
56,56,Hockey,2022-10-19,Florida Panthers - Philadelphia Flyers,4 - 3,False
57,57,Hockey,2022-10-19,Seattle Kraken - St. Louis Blues,3 - 4,False
58,58,Hockey,2022-10-20,Boston Bruins - Anaheim Ducks,2 - 1,False
59,59,Hockey,2022-10-20,Columbus Blue Jackets - Nashville Predators,5 - 3,False
60,60,Hockey,2022-10-20,Calgary Flames - Buffalo Sabres,3 - 6,False
61,61,Hockey,2022-10-20,Edmonton Oilers - Carolina Hurricanes,6 - 4,False
62,62,Hockey,2022-10-20,Minnesota Wild - Vancouver Canucks,4 - 3,False
63,63,Hockey,2022-10-20,Montreal Canadiens - Arizona Coyotes,6 - 2,False
64,64,Hockey,2022-10-20,New York Islanders - New Jersey Devils,1 - 4,False
65,65,Hockey,2022-10-20,New York Rangers - San Jose Sharks,2 - 3,False
66,66,Hockey,2022-10-20,Ottawa Senators - Washington Capitals,5 - 2,False
67,67,Hockey,2022-10-20,Pittsburgh Penguins - Los Angeles Kings,6 - 1,False
68,68,Hockey,2022-10-20,Toronto Maple Leafs - Dallas Stars,3 - 2,False
69,69,Hockey,2022-10-20,Vegas Golden Knights - Winnipeg Jets,5 - 2,False
70,70,Hockey,2022-10-21,Chicago Blackhawks - Detroit Red Wings,4 - 3,False
