Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sun,2022-11-20,19:00 (16:00),Qatar qa,,ec Ecuador,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
1,Mon,2022-11-21,16:00 (13:00),England eng,,ir IR Iran,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
1,Mon,2022-11-21,19:00 (16:00),Senegal sn,,nl Netherlands,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
1,Mon,2022-11-21,22:00 (19:00),United States us,,wls Wales,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
1,Tue,2022-11-22,13:00 (10:00),Argentina ar,,sa Saudi Arabia,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
1,Tue,2022-11-22,16:00 (13:00),Denmark dk,,tn Tunisia,,Education City Stadium (Neutral Site),,Head-to-Head,
1,Tue,2022-11-22,19:00 (16:00),Mexico mx,,pl Poland,,Stadium 974 (Neutral Site),,Head-to-Head,
1,Tue,2022-11-22,22:00 (19:00),France fr,,au Australia,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
1,Wed,2022-11-23,13:00 (10:00),Morocco ma,,hr Croatia,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
1,Wed,2022-11-23,16:00 (13:00),Germany de,,jp Japan,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
1,Wed,2022-11-23,19:00 (16:00),Spain es,,cr Costa Rica,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
1,Wed,2022-11-23,22:00 (19:00),Belgium be,,ca Canada,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
1,Thu,2022-11-24,13:00 (10:00),Switzerland ch,,cm Cameroon,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
1,Thu,2022-11-24,16:00 (13:00),Uruguay uy,,kr Korea Republic,,Education City Stadium (Neutral Site),,Head-to-Head,
1,Thu,2022-11-24,19:00 (16:00),Portugal pt,,gh Ghana,,Stadium 974 (Neutral Site),,Head-to-Head,
1,Thu,2022-11-24,22:00 (19:00),Brazil br,,rs Serbia,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
,,,,,,,,,,,
2,Fri,2022-11-25,13:00 (10:00),Wales wls,,ir IR Iran,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
2,Fri,2022-11-25,16:00 (13:00),Qatar qa,,sn Senegal,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
2,Fri,2022-11-25,19:00 (16:00),Netherlands nl,,ec Ecuador,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
2,Fri,2022-11-25,22:00 (19:00),England eng,,us United States,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
2,Sat,2022-11-26,13:00 (10:00),Tunisia tn,,au Australia,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
