Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-08-05,20:15,Benfica,4–0,Arouca,52617,Estádio do Sport Lisboa e Benfica,Manuel Mota,Match Report,
1,Sat,2022-08-06,15:30,Rio Ave,0–1,FC Vizela,3038,Estádio do Rio Ave Futebol Clube,Gustavo Correia,Match Report,
1,Sat,2022-08-06,18:00,Estoril,2–0,Famalicão,1473,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
1,Sat,2022-08-06,20:30,Porto,5–1,Marítimo,46309,Estádio Do Dragão,Hélder Malheiro,Match Report,
1,Sun,2022-08-07,14:30 (15:30),Santa Clara,0–0,Casa Pia AC,1785,Estádio de São Miguel,Bruno Jose Costa,Match Report,
1,Sun,2022-08-07,18:00,Braga,3–3,Sporting CP,17714,Estádio Municipal de Braga,Fábio Veríssimo,Match Report,
1,Sun,2022-08-07,20:30,Portimonense,0–1,Boavista,2590,Estádio do Portimonense SC,Cláudio Ruivo Pereira,Match Report,
1,Sun,2022-08-07,20:30,Chaves,0–1,Vitória,7526,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Oliveira,Match Report,
1,Mon,2022-08-08,20:15,Gil Vicente FC,1–0,Paços,4871,Estádio Cidade de Barcelos,André Narciso,Match Report,
,,,,,,,,,,,
2,Fri,2022-08-12,20:15,Famalicão,0–3,Braga,4637,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,
2,Sat,2022-08-13,18:00,Casa Pia AC,0–1,Benfica,22253,Estádio Pina Manique,Tiago Martins,Match Report,
2,Sat,2022-08-13,20:30,Sporting CP,3–0,Rio Ave,31760,Estádio José Alvalade,Manuel Mota,Match Report,
2,Sun,2022-08-14,15:30,Boavista,2–1,Santa Clara,5520,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,
2,Sun,2022-08-14,18:00,FC Vizela,0–1,Porto,4679,Estádio Do Vizela,Fábio Veríssimo,Match Report,
2,Sun,2022-08-14,20:30,Vitória,1–0,Estoril,15652,Estádio Dom Afonso Henriques,Cláudio Ruivo Pereira,Match Report,
2,Mon,2022-08-15,15:30,Marítimo,1–2,Chaves,6827,Estádio dos Barreiros,Ricardo Baixinho,Match Report,
2,Mon,2022-08-15,18:00,Arouca,1–0,Gil Vicente FC,1759,Estádio Municipal de Arouca,Nuno Almeida,Match Report,
2,Mon,2022-08-15,20:30,Paços,0–3,Portimonense,2661,Estádio da Capital do Móvel,João Pinheiro,Match Report,
,,,,,,,,,,,
3,Fri,2022-08-19,20:15,Estoril,2–2,Rio Ave,1742,Estádio António Coimbra da Mota,Vitor Ferreira Fernandes,Match Report,
3,Sat,2022-08-20,14:30 (15:30),Santa Clara,1–2,Arouca,1172,Estádio de São Miguel,Hélder Carvalho,Match Report,
3,Sat,2022-08-20,18:00,Chaves,1–1,FC Vizela,5489,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,Match Report,
3,Sat,2022-08-20,20:30,Porto,3–0,Sporting CP,49430,Estádio Do Dragão,Nuno Almeida,Match Report,
3,Sun,2022-08-21,15:30,Casa Pia AC,2–0,Boavista,1136,Estádio Pina Manique,Pierre Gaillouste,Match Report,
3,Sun,2022-08-21,18:00,Braga,5–0,Marítimo,12358,Estádio Municipal de Braga,António Nobre,Match Report,
3,Sun,2022-08-21,20:30,Portimonense,2–1,Vitória,3032,Estádio do Portimonense SC,Ricardo Baixinho,Match Report,
3,Mon,2022-08-22,20:15,Gil Vicente FC,0–0,Famalicão,4245,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,Match Report,
,,,,,,,,,,,
4,Fri,2022-08-26,20:15,Paços,0–3,Estoril,2469,Estádio da Capital do Móvel,Carlos Macedo,Match Report,
4,Sat,2022-08-27,15:30,Marítimo,0–1,Portimonense,4785,Estádio dos Barreiros,Manuel Mota,Match Report,
4,Sat,2022-08-27,18:00,Boavista,0–3,Benfica,10939,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
4,Sat,2022-08-27,20:30,Sporting CP,0–2,Chaves,31408,Estádio José Alvalade,André Narciso,Match Report,
4,Sun,2022-08-28,15:30,Famalicão,1–0,Santa Clara,3636,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,
4,Sun,2022-08-28,18:00,Arouca,0–6,Braga,2348,Estádio Municipal de Arouca,Gustavo Correia,Match Report,
4,Sun,2022-08-28,20:30,Rio Ave,3–1,Porto,3980,Estádio do Rio Ave Futebol Clube,Tiago Martins,Match Report,
4,Mon,2022-08-29,19:00,Vitória,0–1,Casa Pia AC,14231,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
4,Mon,2022-08-29,21:15,FC Vizela,2–2,Gil Vicente FC,2824,Estádio Do Vizela,Manuel Oliveira,Match Report,
,,,,,,,,,,,
3,Tue,2022-08-30,20:15,Benfica,3–2,Paços,55151,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
,,,,,,,,,,,
5,Fri,2022-09-02,19:00,Benfica,2–1,FC Vizela,47958,Estádio do Sport Lisboa e Benfica,Fábio Veríssimo,Match Report,
5,Fri,2022-09-02,21:15,Estoril,0–2,Sporting CP,4718,Estádio António Coimbra da Mota,Manuel Oliveira,Match Report,
5,Sat,2022-09-03,15:30,Braga,1–0,Vitória,21736,Estádio Municipal de Braga,Nuno Almeida,Match Report,
5,Sat,2022-09-03,20:30,Gil Vicente FC,0–2,Porto,8458,Estádio Cidade de Barcelos,João Pinheiro,Match Report,
5,Sun,2022-09-04,15:30,Casa Pia AC,0–0,Arouca,1022,Estádio Nacional,Carlos Macedo,Match Report,
5,Sun,2022-09-04,17:00 (18:00),Santa Clara,2–1,Marítimo,1012,Estádio de São Miguel,Gustavo Correia,Match Report,
5,Sun,2022-09-04,20:30,Portimonense,1–0,Famalicão,1840,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
5,Mon,2022-09-05,19:00,Boavista,1–0,Paços,4831,Estádio do Bessa Século XXI,Cláudio Ruivo Pereira,Match Report,
5,Mon,2022-09-05,21:15,Chaves,1–1,Rio Ave,2987,Estádio Municipal Eng. Manuel Branco Tei...,Hélder Malheiro,Match Report,
,,,,,,,,,,,
6,Fri,2022-09-09,20:15,Vitória,1–0,Santa Clara,12132,Estádio Dom Afonso Henriques,João Pinheiro,Match Report,
6,Sat,2022-09-10,15:30,Famalicão,0–1,Benfica,4867,Estádio Municipal 22 de Junho,Nuno Almeida,Match Report,
6,Sat,2022-09-10,18:00,Sporting CP,4–0,Portimonense,29782,Estádio José Alvalade,Cláudio Ruivo Pereira,Match Report,
6,Sat,2022-09-10,20:30,Porto,3–0,Chaves,44109,Estádio Do Dragão,António Nobre,Match Report,
6,Sun,2022-09-11,15:30,Paços,2–3,Casa Pia AC,4112,Estádio da Capital do Móvel,Tiago Martins,Match Report,
6,Sun,2022-09-11,18:00,Arouca,1–2,Boavista,1395,Estádio Municipal de Arouca,João António Gonçalves,Match Report,
6,Sun,2022-09-11,18:00,Marítimo,1–2,Gil Vicente FC,5032,Estádio dos Barreiros,Miguel Nogueira,Match Report,
6,Sun,2022-09-11,20:30,Rio Ave,2–3,Braga,3071,Estádio do Rio Ave Futebol Clube,Luís Godinho,Match Report,
6,Mon,2022-09-12,20:15,FC Vizela,0–1,Estoril,2335,Estádio Do Vizela,Manuel Mota,Match Report,
,,,,,,,,,,,
7,Fri,2022-09-16,20:15,Portimonense,1–0,Chaves,1411,Estádio do Portimonense SC,Manuel Oliveira,Match Report,
7,Sat,2022-09-17,14:30 (15:30),Santa Clara,1–1,Paços,2123,Estádio de São Miguel,Rui Costa,Match Report,
7,Sat,2022-09-17,15:30,Gil Vicente FC,2–2,Rio Ave,2856,Estádio Cidade de Barcelos,João António Gonçalves,Match Report,
7,Sat,2022-09-17,18:00,Estoril,1–1,Porto,4430,Estádio António Coimbra da Mota,Luís Godinho,Match Report,
7,Sat,2022-09-17,20:30,Boavista,2–1,Sporting CP,8847,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
7,Sun,2022-09-18,15:30,Arouca,2–2,Vitória,2376,Estádio Municipal de Arouca,Fábio Veríssimo,Match Report,
7,Sun,2022-09-18,18:00,Benfica,5–0,Marítimo,56889,Estádio do Sport Lisboa e Benfica,António Nobre,Match Report,
7,Sun,2022-09-18,18:00,Casa Pia AC,1–0,Famalicão,917,Estádio Nacional,Miguel Nogueira,Match Report,
7,Sun,2022-09-18,20:30,Braga,2–0,FC Vizela,14181,Estádio Municipal de Braga,André Narciso,Match Report,
,,,,,,,,,,,
8,Fri,2022-09-30,19:00,Sporting CP,3–1,Gil Vicente FC,27829,Estádio José Alvalade,Tiago Martins,Match Report,
8,Fri,2022-09-30,21:15,Porto,4–1,Braga,44830,Estádio Do Dragão,Artur Soares Dias,Match Report,
8,Sat,2022-10-01,15:30,FC Vizela,1–0,Portimonense,2435,Estádio Do Vizela,António Nobre,Match Report,
8,Sat,2022-10-01,18:00,Chaves,1–1,Estoril,3345,Estádio Municipal Eng. Manuel Branco Tei...,Fábio Veríssimo,Match Report,
8,Sat,2022-10-01,20:30,Vitória,0–0,Benfica,19231,Estádio Dom Afonso Henriques,Rui Costa,Match Report,
8,Sun,2022-10-02,15:30,Rio Ave,1–0,Santa Clara,1984,Estádio do Rio Ave Futebol Clube,Cláudio Ruivo Pereira,Match Report,
8,Sun,2022-10-02,18:00,Paços,1–1,Arouca,4431,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
8,Sun,2022-10-02,20:30,Famalicão,4–0,Boavista,3783,Estádio Municipal 22 de Junho,Gustavo Correia,Match Report,
8,Mon,2022-10-03,20:15,Marítimo,1–2,Casa Pia AC,4484,Estádio dos Barreiros,Vitor Ferreira Fernandes,Match Report,
,,,,,,,,,,,
9,Fri,2022-10-07,20:15,Gil Vicente FC,0–1,Estoril,2516,Estádio Cidade de Barcelos,Hélder Carvalho,Match Report,
9,Sat,2022-10-08,14:30 (15:30),Santa Clara,1–2,Sporting CP,4500,Estádio de São Miguel,Artur Soares Dias,Match Report,
9,Sat,2022-10-08,18:00,Benfica,4–2,Rio Ave,56176,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
9,Sat,2022-10-08,18:00,Portimonense,0–2,Porto,3960,Estádio do Portimonense SC,Manuel Mota,Match Report,
9,Sat,2022-10-08,20:30,Paços,0–1,Vitória,5346,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
9,Sun,2022-10-09,15:30,Boavista,1–1,Marítimo,11295,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
9,Sun,2022-10-09,18:00,Casa Pia AC,0–1,FC Vizela,2912,Estádio Nacional,João Pinheiro,Match Report,
9,Sun,2022-10-09,20:30,Braga,0–1,Chaves,12494,Estádio Municipal de Braga,Cláudio Ruivo Pereira,Match Report,
9,Mon,2022-10-10,20:15,Arouca,4–1,Famalicão,1018,Estádio Municipal de Arouca,André Narciso,Match Report,
,,,,,,,,,,,
10,Fri,2022-10-21,20:15,Porto,0–1,Benfica,49499,Estádio Do Dragão,João Pinheiro,Match Report,
10,Sat,2022-10-22,15:30,Famalicão,2–1,Paços,2380,Estádio Municipal 22 de Junho,Miguel Nogueira,Match Report,
10,Sat,2022-10-22,18:00,Estoril,0–2,Braga,2674,Estádio António Coimbra da Mota,André Narciso,Match Report,
10,Sat,2022-10-22,20:30,Sporting CP,3–1,Casa Pia AC,26679,Estádio José Alvalade,Hélder Malheiro,Match Report,
10,Sun,2022-10-23,15:30,FC Vizela,0–1,Santa Clara,2007,Estádio Do Vizela,Gustavo Correia,Match Report,
10,Sun,2022-10-23,15:30,Marítimo,1–1,Arouca,9072,Estádio dos Barreiros,Manuel Oliveira,Match Report,
10,Sun,2022-10-23,18:00,Chaves,3–1,Gil Vicente FC,2794,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Mota,Match Report,
10,Sun,2022-10-23,20:30,Vitória,3–2,Boavista,11359,Estádio Dom Afonso Henriques,Fábio Veríssimo,Match Report,
10,Mon,2022-10-24,20:15,Rio Ave,,Portimonense,,Estádio do Rio Ave Futebol Clube,,Head-to-Head,
,,,,,,,,,,,
11,Fri,2022-10-28,20:15,Paços,,Marítimo,,Estádio da Capital do Móvel,,Head-to-Head,
11,Sat,2022-10-29,14:30 (15:30),Santa Clara,,Porto,,Estádio de São Miguel,,Head-to-Head,
11,Sat,2022-10-29,18:00,Benfica,,Chaves,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,
11,Sat,2022-10-29,20:30,Arouca,,Sporting CP,,Estádio Municipal de Arouca,,Head-to-Head,
11,Sun,2022-10-30,15:30,Portimonense,,Estoril,,Estádio do Portimonense SC,,Head-to-Head,
11,Sun,2022-10-30,15:30,Boavista,,FC Vizela,,Estádio do Bessa Século XXI,,Head-to-Head,
11,Sun,2022-10-30,18:00,Casa Pia AC,,Rio Ave,,Estádio Nacional,,Head-to-Head,
11,Sun,2022-10-30,20:30,Gil Vicente FC,,Braga,,Estádio Cidade de Barcelos,,Head-to-Head,
11,Mon,2022-10-31,20:15,Vitória,,Famalicão,,Estádio Dom Afonso Henriques,,Head-to-Head,
,,,,,,,,,,,
12,Sun,2022-11-06,,Chaves,,Santa Clara,,Estádio Municipal Eng. Manuel Branco Tei...,,Head-to-Head,
12,Sun,2022-11-06,,Braga,,Casa Pia AC,,Estádio Municipal de Braga,,Head-to-Head,
12,Sun,2022-11-06,,Rio Ave,,Boavista,,Estádio do Rio Ave Futebol Clube,,Head-to-Head,
12,Sun,2022-11-06,,Gil Vicente FC,,Portimonense,,Estádio Cidade de Barcelos,,Head-to-Head,
12,Sun,2022-11-06,,Estoril,,Benfica,,Estádio António Coimbra da Mota,,Head-to-Head,
12,Sun,2022-11-06,,Sporting CP,,Vitória,,Estádio José Alvalade,,Head-to-Head,
12,Sun,2022-11-06,,Marítimo,,Famalicão,,Estádio dos Barreiros,,Head-to-Head,
12,Sun,2022-11-06,,Porto,,Paços,,Estádio Do Dragão,,Head-to-Head,
12,Sun,2022-11-06,,FC Vizela,,Arouca,,Estádio Do Vizela,,Head-to-Head,
,,,,,,,,,,,
13,Sun,2022-11-13,,Portimonense,,Braga,,,,Head-to-Head,
13,Sun,2022-11-13,,Vitória,,Marítimo,,,,Head-to-Head,
13,Sun,2022-11-13,,Santa Clara,,Estoril,,,,Head-to-Head,
13,Sun,2022-11-13,,Boavista,,Porto,,,,Head-to-Head,
13,Sun,2022-11-13,,Benfica,,Gil Vicente FC,,,,Head-to-Head,
13,Sun,2022-11-13,,Casa Pia AC,,Chaves,,,,Head-to-Head,
13,Sun,2022-11-13,,Famalicão,,Sporting CP,,,,Head-to-Head,
13,Sun,2022-11-13,,Arouca,,Rio Ave,,,,Head-to-Head,
13,Sun,2022-11-13,,Paços,,FC Vizela,,,,Head-to-Head,
,,,,,,,,,,,
14,Wed,2022-12-28,,FC Vizela,,Vitória,,,,Head-to-Head,
14,Wed,2022-12-28,,Rio Ave,,Marítimo,,,,Head-to-Head,
14,Wed,2022-12-28,,Sporting CP,,Paços,,,,Head-to-Head,
14,Wed,2022-12-28,,Gil Vicente FC,,Santa Clara,,,,Head-to-Head,
14,Wed,2022-12-28,,Braga,,Benfica,,,,Head-to-Head,
14,Wed,2022-12-28,,Chaves,,Famalicão,,,,Head-to-Head,
14,Wed,2022-12-28,,Estoril,,Boavista,,,,Head-to-Head,
14,Wed,2022-12-28,,Portimonense,,Casa Pia AC,,,,Head-to-Head,
14,Wed,2022-12-28,,Porto,,Arouca,,,,Head-to-Head,
,,,,,,,,,,,
15,Sun,2023-01-08,,Casa Pia AC,,Porto,,,,Head-to-Head,
15,Sun,2023-01-08,,Benfica,,Portimonense,,,,Head-to-Head,
15,Sun,2023-01-08,,Santa Clara,,Braga,,,,Head-to-Head,
15,Sun,2023-01-08,,Marítimo,,Sporting CP,,,,Head-to-Head,
15,Sun,2023-01-08,,Arouca,,Estoril,,,,Head-to-Head,
15,Sun,2023-01-08,,Boavista,,Gil Vicente FC,,,,Head-to-Head,
15,Sun,2023-01-08,,Famalicão,,FC Vizela,,,,Head-to-Head,
15,Sun,2023-01-08,,Paços,,Chaves,,,,Head-to-Head,
15,Sun,2023-01-08,,Vitória,,Rio Ave,,,,Head-to-Head,
,,,,,,,,,,,
16,Sun,2023-01-15,,Rio Ave,,Paços,,,,Head-to-Head,
16,Sun,2023-01-15,,Braga,,Boavista,,,,Head-to-Head,
16,Sun,2023-01-15,,Gil Vicente FC,,Vitória,,,,Head-to-Head,
16,Sun,2023-01-15,,Porto,,Famalicão,,,,Head-to-Head,
16,Sun,2023-01-15,,Portimonense,,Santa Clara,,,,Head-to-Head,
16,Sun,2023-01-15,,Estoril,,Casa Pia AC,,,,Head-to-Head,
16,Sun,2023-01-15,,Chaves,,Arouca,,,,Head-to-Head,
16,Sun,2023-01-15,,FC Vizela,,Marítimo,,,,Head-to-Head,
16,Sun,2023-01-15,,Benfica,,Sporting CP,,,,Head-to-Head,
,,,,,,,,,,,
17,Sat,2023-01-21,,Vitória,,Porto,,,,Head-to-Head,
17,Sat,2023-01-21,,Casa Pia AC,,Gil Vicente FC,,,,Head-to-Head,
17,Sat,2023-01-21,,Marítimo,,Estoril,,,,Head-to-Head,
17,Sat,2023-01-21,,Paços,,Braga,,,,Head-to-Head,
17,Sat,2023-01-21,,Arouca,,Portimonense,,,,Head-to-Head,
17,Sat,2023-01-21,,Santa Clara,,Benfica,,,,Head-to-Head,
17,Sat,2023-01-21,,Boavista,,Chaves,,,,Head-to-Head,
17,Sat,2023-01-21,,Famalicão,,Rio Ave,,,,Head-to-Head,
17,Sat,2023-01-21,,Sporting CP,,FC Vizela,,,,Head-to-Head,
,,,,,,,,,,,
18,Sun,2023-01-29,,Vitória,,Chaves,,,,Head-to-Head,
18,Sun,2023-01-29,,Marítimo,,Porto,,,,Head-to-Head,
18,Sun,2023-01-29,,Arouca,,Benfica,,,,Head-to-Head,
18,Sun,2023-01-29,,Boavista,,Portimonense,,,,Head-to-Head,
18,Sun,2023-01-29,,Paços,,Gil Vicente FC,,,,Head-to-Head,
18,Sun,2023-01-29,,Sporting CP,,Braga,,,,Head-to-Head,
18,Sun,2023-01-29,,FC Vizela,,Rio Ave,,,,Head-to-Head,
18,Sun,2023-01-29,,Famalicão,,Estoril,,,,Head-to-Head,
18,Sun,2023-01-29,,Casa Pia AC,,Santa Clara,,,,Head-to-Head,
,,,,,,,,,,,
19,Sun,2023-02-05,,Portimonense,,Paços,,,,Head-to-Head,
19,Sun,2023-02-05,,Chaves,,Marítimo,,,,Head-to-Head,
19,Sun,2023-02-05,,Porto,,FC Vizela,,,,Head-to-Head,
19,Sun,2023-02-05,,Braga,,Famalicão,,,,Head-to-Head,
19,Sun,2023-02-05,,Rio Ave,,Sporting CP,,,,Head-to-Head,
19,Sun,2023-02-05,,Santa Clara,,Boavista,,,,Head-to-Head,
19,Sun,2023-02-05,,Gil Vicente FC,,Arouca,,,,Head-to-Head,
19,Sun,2023-02-05,,Estoril,,Vitória,,,,Head-to-Head,
19,Sun,2023-02-05,,Benfica,,Casa Pia AC,,,,Head-to-Head,
,,,,,,,,,,,
20,Sun,2023-02-12,,FC Vizela,,Chaves,,,,Head-to-Head,
20,Sun,2023-02-12,,Marítimo,,Braga,,,,Head-to-Head,
20,Sun,2023-02-12,,Famalicão,,Gil Vicente FC,,,,Head-to-Head,
20,Sun,2023-02-12,,Vitória,,Portimonense,,,,Head-to-Head,
20,Sun,2023-02-12,,Boavista,,Casa Pia AC,,,,Head-to-Head,
20,Sun,2023-02-12,,Rio Ave,,Estoril,,,,Head-to-Head,
20,Sun,2023-02-12,,Arouca,,Santa Clara,,,,Head-to-Head,
20,Sun,2023-02-12,,Paços,,Benfica,,,,Head-to-Head,
20,Sun,2023-02-12,,Sporting CP,,Porto,,,,Head-to-Head,
,,,,,,,,,,,
21,Sun,2023-02-19,,Benfica,,Boavista,,,,Head-to-Head,
21,Sun,2023-02-19,,Estoril,,Paços,,,,Head-to-Head,
21,Sun,2023-02-19,,Portimonense,,Marítimo,,,,Head-to-Head,
21,Sun,2023-02-19,,Porto,,Rio Ave,,,,Head-to-Head,
21,Sun,2023-02-19,,Chaves,,Sporting CP,,,,Head-to-Head,
21,Sun,2023-02-19,,Santa Clara,,Famalicão,,,,Head-to-Head,
21,Sun,2023-02-19,,Gil Vicente FC,,FC Vizela,,,,Head-to-Head,
21,Sun,2023-02-19,,Braga,,Arouca,,,,Head-to-Head,
21,Sun,2023-02-19,,Casa Pia AC,,Vitória,,,,Head-to-Head,
,,,,,,,,,,,
22,Sun,2023-02-26,,Sporting CP,,Estoril,,,,Head-to-Head,
22,Sun,2023-02-26,,Paços,,Boavista,,,,Head-to-Head,
22,Sun,2023-02-26,,FC Vizela,,Benfica,,,,Head-to-Head,
22,Sun,2023-02-26,,Marítimo,,Santa Clara,,,,Head-to-Head,
22,Sun,2023-02-26,,Famalicão,,Portimonense,,,,Head-to-Head,
22,Sun,2023-02-26,,Vitória,,Braga,,,,Head-to-Head,
22,Sun,2023-02-26,,Arouca,,Casa Pia AC,,,,Head-to-Head,
22,Sun,2023-02-26,,Rio Ave,,Chaves,,,,Head-to-Head,
22,Sun,2023-02-26,,Porto,,Gil Vicente FC,,,,Head-to-Head,
,,,,,,,,,,,
23,Sun,2023-03-05,,Gil Vicente FC,,Marítimo,,,,Head-to-Head,
23,Sun,2023-03-05,,Casa Pia AC,,Paços,,,,Head-to-Head,
23,Sun,2023-03-05,,Benfica,,Famalicão,,,,Head-to-Head,
23,Sun,2023-03-05,,Boavista,,Arouca,,,,Head-to-Head,
23,Sun,2023-03-05,,Braga,,Rio Ave,,,,Head-to-Head,
23,Sun,2023-03-05,,Chaves,,Porto,,,,Head-to-Head,
23,Sun,2023-03-05,,Santa Clara,,Vitória,,,,Head-to-Head,
23,Sun,2023-03-05,,Estoril,,FC Vizela,,,,Head-to-Head,
23,Sun,2023-03-05,,Portimonense,,Sporting CP,,,,Head-to-Head,
,,,,,,,,,,,
24,Sun,2023-03-12,,Chaves,,Portimonense,,,,Head-to-Head,
24,Sun,2023-03-12,,Paços,,Santa Clara,,,,Head-to-Head,
24,Sun,2023-03-12,,Sporting CP,,Boavista,,,,Head-to-Head,
24,Sun,2023-03-12,,FC Vizela,,Braga,,,,Head-to-Head,
24,Sun,2023-03-12,,Marítimo,,Benfica,,,,Head-to-Head,
24,Sun,2023-03-12,,Porto,,Estoril,,,,Head-to-Head,
24,Sun,2023-03-12,,Famalicão,,Casa Pia AC,,,,Head-to-Head,
24,Sun,2023-03-12,,Vitória,,Arouca,,,,Head-to-Head,
24,Sun,2023-03-12,,Rio Ave,,Gil Vicente FC,,,,Head-to-Head,
,,,,,,,,,,,
25,Sun,2023-03-19,,Boavista,,Famalicão,,,,Head-to-Head,
25,Sun,2023-03-19,,Santa Clara,,Rio Ave,,,,Head-to-Head,
25,Sun,2023-03-19,,Arouca,,Paços,,,,Head-to-Head,
25,Sun,2023-03-19,,Gil Vicente FC,,Sporting CP,,,,Head-to-Head,
25,Sun,2023-03-19,,Portimonense,,FC Vizela,,,,Head-to-Head,
25,Sun,2023-03-19,,Casa Pia AC,,Marítimo,,,,Head-to-Head,
25,Sun,2023-03-19,,Estoril,,Chaves,,,,Head-to-Head,
25,Sun,2023-03-19,,Benfica,,Vitória,,,,Head-to-Head,
25,Sun,2023-03-19,,Braga,,Porto,,,,Head-to-Head,
,,,,,,,,,,,
26,Sun,2023-04-02,,Chaves,,Braga,,,,Head-to-Head,
26,Sun,2023-04-02,,Vitória,,Paços,,,,Head-to-Head,
26,Sun,2023-04-02,,Sporting CP,,Santa Clara,,,,Head-to-Head,
26,Sun,2023-04-02,,Porto,,Portimonense,,,,Head-to-Head,
26,Sun,2023-04-02,,Famalicão,,Arouca,,,,Head-to-Head,
26,Sun,2023-04-02,,Rio Ave,,Benfica,,,,Head-to-Head,
26,Sun,2023-04-02,,FC Vizela,,Casa Pia AC,,,,Head-to-Head,
26,Sun,2023-04-02,,Estoril,,Gil Vicente FC,,,,Head-to-Head,
26,Sun,2023-04-02,,Marítimo,,Boavista,,,,Head-to-Head,
,,,,,,,,,,,
27,Sun,2023-04-09,,Arouca,,Marítimo,,,,Head-to-Head,
27,Sun,2023-04-09,,Santa Clara,,FC Vizela,,,,Head-to-Head,
27,Sun,2023-04-09,,Benfica,,Porto,,,,Head-to-Head,
27,Sun,2023-04-09,,Casa Pia AC,,Sporting CP,,,,Head-to-Head,
27,Sun,2023-04-09,,Boavista,,Vitória,,,,Head-to-Head,
27,Sun,2023-04-09,,Portimonense,,Rio Ave,,,,Head-to-Head,
27,Sun,2023-04-09,,Gil Vicente FC,,Chaves,,,,Head-to-Head,
27,Sun,2023-04-09,,Braga,,Estoril,,,,Head-to-Head,
27,Sun,2023-04-09,,Paços,,Famalicão,,,,Head-to-Head,
,,,,,,,,,,,
28,Sun,2023-04-16,,Famalicão,,Vitória,,,,Head-to-Head,
28,Sun,2023-04-16,,Estoril,,Portimonense,,,,Head-to-Head,
28,Sun,2023-04-16,,Porto,,Santa Clara,,,,Head-to-Head,
28,Sun,2023-04-16,,Marítimo,,Paços,,,,Head-to-Head,
