Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2022-08-13,18:30 (17:30),Milan,2.1,4–2,0.5,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
1,Sat,2022-08-13,18:30 (17:30),Sampdoria,0.6,0–2,1.9,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
1,Sat,2022-08-13,20:45 (19:45),Lecce,0.5,1–2,2.5,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,Match Report,
1,Sat,2022-08-13,20:45 (19:45),Monza,1.7,1–2,2.7,Torino,10739,Stadio Comunale Brianteo,Maurizio Mariani,Match Report,
1,Sun,2022-08-14,18:30 (17:30),Fiorentina,1.9,3–2,1.0,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,Match Report,
1,Sun,2022-08-14,18:30 (17:30),Lazio,0.6,2–1,1.8,Bologna,45000,Stadio Olimpico,Luca Massimi,Match Report,
1,Sun,2022-08-14,20:45 (19:45),Salernitana,0.5,0–1,2.4,Roma,26006,Stadio Arechi,Simone Sozza,Match Report,
1,Sun,2022-08-14,20:45 (19:45),Spezia,0.7,1–0,1.3,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,Match Report,
1,Mon,2022-08-15,18:30 (17:30),Hellas Verona,1.2,2–5,2.3,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
1,Mon,2022-08-15,20:45 (19:45),Juventus,1.8,3–0,1.1,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,Match Report,
,,,,,,,,,,,,,
2,Sat,2022-08-20,18:30 (17:30),Udinese,1.1,0–0,1.3,Salernitana,17054,Dacia Arena,Gianluca Aureliano,Match Report,
2,Sat,2022-08-20,18:30 (17:30),Torino,0.8,0–0,0.8,Lazio,16530,Stadio Olimpico di Torino,Marco Piccinini,Match Report,
2,Sat,2022-08-20,20:45 (19:45),Sassuolo,0.6,1–0,0.4,Lecce,9219,Stadio Città del Tricolore,Andrea Colombo,Match Report,
2,Sat,2022-08-20,20:45 (19:45),Inter,2.5,3–0,0.5,Spezia,71212,Stadio Giuseppe Meazza,Davide Ghersini,Match Report,
2,Sun,2022-08-21,18:30 (17:30),Empoli,0.8,0–0,1.1,Fiorentina,10411,Stadio Carlo Castellani,Matteo Marchetti,Match Report,
2,Sun,2022-08-21,18:30 (17:30),Napoli,2.8,4–0,0.1,Monza,36559,Stadio San Paolo,Francesco Fourneau,Match Report,
2,Sun,2022-08-21,20:45 (19:45),Atalanta,0.5,1–1,1.0,Milan,19216,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
2,Sun,2022-08-21,20:45 (19:45),Bologna,1.0,1–1,1.8,Hellas Verona,17725,Stadio Renato Dall'Ara,Matteo Marcenaro,Match Report,
2,Mon,2022-08-22,18:30 (17:30),Roma,3.0,1–0,0.5,Cremonese,60859,Stadio Olimpico,Luca Massimi,Match Report,
2,Mon,2022-08-22,20:45 (19:45),Sampdoria,0.9,0–0,0.9,Juventus,27573,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-08-26,18:30 (17:30),Monza,1.3,1–2,1.6,Udinese,9955,Stadio Comunale Brianteo,Marco Di Bello,Match Report,
3,Fri,2022-08-26,20:45 (19:45),Lazio,0.8,3–1,1.6,Inter,52500,Stadio Olimpico,Michael Fabbri,Match Report,
3,Sat,2022-08-27,18:30 (17:30),Juventus,0.6,1–1,0.9,Roma,41003,Allianz Stadium,Massimiliano Irrati,Match Report,
3,Sat,2022-08-27,18:30 (17:30),Cremonese,0.8,1–2,2.3,Torino,11572,Stadio Giovanni Zin,Paolo Valeri,Match Report,
